Vitis riparia, 117934313, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis riparia, 117914849, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis riparia, 117930736, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis riparia, 117930802, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis riparia, 117928037, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Vitis riparia, 117928586, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Vitis riparia, 117912217, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Vitis riparia, 117912816, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Vitis riparia, 117913309, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Vitis riparia, 117907342, flavanone 3-dioxygenase isoform X1  [EC], ['EC:1.14.11.9'], KO:K00475
Vitis riparia, 117905961, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis riparia, 117906026, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis riparia, 117906419, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis riparia, 117907623, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis riparia, 117924864, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis riparia, 117925208, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis riparia, 117916090, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis riparia, 117904722, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Vitis riparia, 117905400, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vitis riparia, 117906273, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vitis riparia, 117906599, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vitis riparia, 117916337, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis riparia, 117916343, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis riparia, 117916516, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis riparia, 117916517, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis riparia, 117916518, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis riparia, 117904624, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Vitis riparia, 117923743, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Vitis riparia, 117924389, LOW QUALITY PROTEIN: anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Vitis riparia, 117911022, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Vitis riparia, 117916296, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Vitis riparia, 117905356, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vitis riparia, 117905933, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vitis riparia, 117906001, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vitis riparia, 117906024, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vitis riparia, 117906141, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vitis riparia, 117906173, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vitis riparia, 117907780, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vitis riparia, 117909846, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117920767, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
