Arachis hypogaea, 112767268, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112789292, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112790504, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112749796, chalcone synthase 6-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112749797, chalcone synthase 6-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112794638, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112794644, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112754970, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112795670, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796250, stilbene synthase 3-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796251, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796253, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796254, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796255, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796256, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796257, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796258, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796259, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796261, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796262, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796265, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796266, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796268, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796272, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796273, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796274, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796275, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796277, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112796278, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112720208, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112737218, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112755722, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112755723, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112706013, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112706014, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112740947, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112740948, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741542, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741543, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741544, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741550, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741555, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741556, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741558, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741559, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741560, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
