Panicum virgatum, 120656507, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120656508, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120656509, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120642390, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120709314, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120709328, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120683054, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120656506, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Panicum virgatum, 120709319, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Panicum virgatum, 120655693, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120701233, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120676246, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120708487, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120665912, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120699130, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120640568, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120685854, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120656896, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120671457, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120687300, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120642947, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120644088, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120644113, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120704927, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120647275, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120691323, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120648265, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120676931, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120692023, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120678546, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120678686, probable 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120650515, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120650517, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120679861, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120680722, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
