Erigeron canadensis, 122602780, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Erigeron canadensis, 122603111, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Erigeron canadensis, 122605403, chalcone synthase 2-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Erigeron canadensis, 122605404, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Erigeron canadensis, 122605405, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Erigeron canadensis, 122595292, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Erigeron canadensis, 122603276, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Erigeron canadensis, 122607388, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Erigeron canadensis, 122588518, chalcone--flavanone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Erigeron canadensis, 122610074, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Erigeron canadensis, 122587212, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Erigeron canadensis, 122592523, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erigeron canadensis, 122609569, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erigeron canadensis, 122587139, cytochrome P450 93B2-like  [EC], ['EC:1.14.19.76'], KO:K23179
Erigeron canadensis, 122579393, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Erigeron canadensis, 122580625, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Erigeron canadensis, 122606651, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Erigeron canadensis, 122602690, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Erigeron canadensis, 122599614, anthocyanin synthase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Erigeron canadensis, 122578664, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122592145, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579265, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579436, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579454, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122592641, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122604626, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122604643, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122605114, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122580130, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122593382, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122593392, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122605263, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122581493, acyltransferase Pun1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122594301, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122595310, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122608671, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122596531, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122610684, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122598408, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122598988, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122586711, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122599334, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122587598, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122601383, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579549, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erigeron canadensis, 122582247, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erigeron canadensis, 122603489, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122603643, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122606043, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122606044, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122595132, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122596020, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122610075, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122599280, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122599325, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122599621, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
