1. Aegilops tauschii,31. Eucalyptus grandis,61. Phalaenopsis equestris
2. Amborella trichopoda,32. Eutrema salsugineum,62. Phaseolus vulgaris
3. Arabidopsis lyrata,33. Fragaria vesca,63. Phoenix dactylifera
4. Arabidopsis thaliana,34. Glycine max,64. Physcomitrium patens
5. Arachis duranensis,35. Glycine soja,65. Populus euphratica
6. Arachis ipaensis,36. Gossypium arboreum,66. Populus trichocarpa
7. Asparagus officinalis,37. Gossypium hirsutum,67. Prunus avium
8. Beta vulgaris,38. Gossypium raimondii,68. Prunus mume
9. Brachypodium distachyon,39. Helianthus annuus,69. Prunus persica
10. Brassica napus,40. Hevea brasiliensis,70. Pyrus x
11. Brassica oleracea,41. Ipomoea nil,71. Quercus suber
12. Brassica rapa,42. Jatropha curcas,72. Raphanus sativus
13. Cajanus cajan,43. Juglans regia,73. Ricinus communis
14. Camelina sativa,44. Lactuca sativa,74. Rosa chinensis
15. Capsicum annuum,45. Lotus japonicus,75. Selaginella moellendorffii
16. Carica papaya,46. Lupinus angustifolius,76. Sesamum indicum
17. Chenopodium quinoa,47. Malus domestica,77. Setaria italica
18. Cicer arietinum,48. Manihot esculenta,78. Solanum lycopersicum
19. Citrus clementina,49. Medicago truncatula,79. Solanum pennellii
20. Citrus sinensis,50. Momordica charantia,80. Solanum tuberosum
21. Cucumis melo,51. Musa acuminata,81. Sorghum bicolor
22. Cucumis sativus,52. Nelumbo nucifera,82. Spinacia oleracea
23. Cucurbita maxima,53. Nicotiana attenuata,83. Tarenaya hassleriana
24. Cucurbita moschata,54. Nicotiana sylvestris,84. Theobroma cacao
25. Cucurbita pepo,55. Nicotiana tabacum,85. Vigna angularis
26. Cynara cardunculus,56. Nicotiana tomentosiformis,86. Vigna radiata
27. Daucus carota,57. Olea europaea,87. Vigna unguiculata
28. Dendrobium catenatum,58. Oryza brachyantha,88. Vitis vinifera
29. Durio zibethinus,59. Oryza sativa,89. Zea mays
30. Elaeis guineensis,60. Papaver somniferum,90. Ziziphus jujuba
