
Aegilops tauschii	
Amborella trichopoda	
Arabidopsis lyrata	EC:4.3.1.24	EC:1.14.14.91	EC:6.2.1.12	EC:2.3.1.133	EC:1.14.14.96	EC:3.1.1.-	EC:2.1.1.104	EC:1.2.1.44	EC:1.2.1.68	EC:1.14.-.-	EC:2.1.1.68	EC:2.1.1.4	EC:1.1.1.195	EC:1.11.1.7	EC:1.11.1.27	EC:2.4.1.111	EC:3.4.16.-	EC:2.3.1.92	EC:3.2.1.21	EC:1.14.13.-	EC:1.14.11.61	EC:2.3.1.74	EC:5.5.1.6	EC:1.14.11.9	EC:1.14.20.6	EC:1.14.14.82	EC:1.1.1.219	EC:1.1.1.234	EC:1.14.20.4	EC:1.3.1.77	EC:2.4.2.51	
Arabidopsis thaliana	
Arachis duranensis	
Arachis ipaensis	
Asparagus officinalis	
Auxenochlorella protothecoides	
Bathycoccus prasinos	
Beta vulgaris	
Brachypodium distachyon	
Brassica napus	
Brassica oleracea	
Brassica rapa	
Cajanus cajan	
Camelina sativa	
Capsella rubella	
Capsicum annuum	
Carica papaya	
Chenopodium quinoa	
Chlamydomonas reinhardtii	
Chlorella variabilis	
Chondrus crispus	
Cicer arietinum	
Citrus clementina	
Citrus sinensis	
Coccomyxa subellipsoidea	
Cucumis melo	
Cucumis sativus	
Cucurbita maxima	
Cucurbita moschata	
Cucurbita pepo subsp. pepo	
Cyanidioschyzon merolae	
Cynara cardunculus var. scolymus	
Daucus carota	
Dendrobium catenatum	
Durio zibethinus	
Elaeis guineensis	
Eucalyptus grandis	
Eutrema salsugineum	
Fragaria vesca	
Galdieria sulphuraria	
Glycine max	
Gossypium arboreum	
Gossypium hirsutum	
Gossypium raimondii	
Helianthus annuus	
Hevea brasiliensis	
Ipomoea nil	
Jatropha curcas	
Juglans regia	
Lactuca sativa	
Lotus japonicus	
Lupinus angustifolius	
Malus domestica	
Manihot esculenta	
Micromonas commoda	
Micromonas pusilla	
Momordica charantia	
Monoraphidium neglectum	
Musa acuminata	
Nelumbo nucifera	
Nicotiana attenuata	
Nicotiana sylvestris	
Nicotiana tabacum	
Nicotiana tomentosiformis	
Olea europaea v. sylvestris	
Oryza brachyantha	
Oryza sativa japonica RAPDB	
Oryza sativa japonica RefSeq	
Ostreococcus lucimarinus	
Ostreococcus tauri	
Papaver somniferum	
Phalaenopsis equestris	
Phaseolus vulgaris	
Phoenix dactylifera	
Physcomitrium patens subsp. Patens	
Populus trichocarpa	
Populus euphratica	
Prunus avium	
Prunus mume	
Prunus persica	
Pyrus x bretschneideri	
Quercus suber	
Ricinus communis	
Selaginella moellendorffii	
Sesamum indicum	
Setaria italica	
Solanum lycopersicum	
Solanum pennellii	
Solanum tuberosum	
Sorghum bicolor	
Spinacia oleracea	
Tarenaya hassleriana	
Theobroma cacao	
Vigna angularis	
Vigna radiata	
Vitis vinifera	
Volvox carteri f. nagariensis	
Zea mays	
Ziziphus jujuba	
Glycine soja	
Medicago truncatula	
Rosa chinensis	
Vigna unguiculata	
Raphanus sativus	
