1. Arabidopsis thaliana,18. Fragaria vesca,34. Papaver somniferum
2. Asparagus officinalis,19. Glycine max,35. Phaseolus vulgaris
3. Beta vulgaris,20. Gossypium hirsutum,36. Prunus avium
4. Brassica napus,21. Hevea brasiliensis,37. Prunus persica
5. Brassica oleracea,22. Juglans regia,38. Raphanus sativus
6. Brassica rapa,23. Lactuca sativa,39. Ricinus communis
7. Capsicum annuum,24. Lotus japonicus,40. Rosa chinensis
8. Carica papaya,25. Lupinus angustifolius,41. Solanum lycopersicum
9. Chenopodium quinoa,26. Malus domestica,42. Solanum tuberosum
10. Cicer arietinum,27. Medicago truncatula,43. Spinacia oleracea
11. Citrus sinensis,28. Momordica charantia,44. Theobroma cacao
12. Cucumis melo,29. Musa acuminata,45. Vigna radiata
13. Cucumis sativus,30. Nelumbo nucifera,46. Vigna unguiculata
14. Cucurbita maxima,31. Nicotiana tabacum,47. Vitis vinifera
15. Cucurbita pepo,32. Olea europaea,48. Zea mays
16. Daucus carota,33. Oryza sativa,49. Ziziphus jujuba
17. Elaeis guineensis, , 
