1. Aegilops tauschii,23. Gossypium arboreum,45. Populus euphratica
2. Amborella trichopoda,24. Gossypium hirsutum,46. Populus trichocarpa
3. Arabidopsis lyrata,25. Gossypium raimondii,47. Prunus avium
4. Arabidopsis thaliana,26. Hevea brasiliensis,48. Prunus mume
5. Arachis duranensis,27. Jatropha curcas,49. Prunus persica
6. Asparagus officinalis,28. Juglans regia,50. Pyrus x
7. Beta vulgaris,29. Lotus japonicus,51. Quercus suber
8. Brassica napus,30. Lupinus angustifolius,52. Raphanus sativus
9. Brassica oleracea,31. Malus domestica,53. Ricinus communis
10. Brassica rapa,32. Manihot esculenta,54. Rosa chinensis
11. Camelina sativa,33. Medicago truncatula,55. Setaria italica
12. Carica papaya,34. Musa acuminata,56. Solanum lycopersicum
13. Chenopodium quinoa,35. Nelumbo nucifera,57. Solanum pennellii
14. Cicer arietinum,36. Nicotiana attenuata,58. Solanum tuberosum
15. Citrus clementina,37. Nicotiana sylvestris,59. Tarenaya hassleriana
16. Citrus sinensis,38. Nicotiana tabacum,60. Theobroma cacao
17. Durio zibethinus,39. Nicotiana tomentosiformis,61. Vigna angularis
18. Elaeis guineensis,40. Oryza brachyantha,62. Vigna radiata
19. Eucalyptus grandis,41. Oryza sativa,63. Vigna unguiculata
20. Eutrema salsugineum,42. Papaver somniferum,64. Zea mays
21. Glycine max,43. Phaseolus vulgaris,65. Ziziphus jujuba
22. Glycine soja,44. Phoenix dactylifera, 
