1. Aegilops tauschii,18. Eucalyptus grandis,35. Oryza sativa
2. Amborella trichopoda,19. Eutrema salsugineum,36. Phalaenopsis equestris
3. Arabidopsis lyrata,20. Glycine soja,37. Populus euphratica
4. Arachis duranensis,21. Gossypium arboreum,38. Populus trichocarpa
5. Asparagus officinalis,22. Gossypium raimondii,39. Prunus mume
6. Beta vulgaris,23. Helianthus annuus,40. Pyrus x
7. Brassica napus,24. Hevea brasiliensis,41. Quercus suber
8. Brassica rapa,25. Jatropha curcas,42. Ricinus communis
9. Camelina sativa,26. Lupinus angustifolius,43. Rosa chinensis
10. Chenopodium quinoa,27. Manihot esculenta,44. Sesamum indicum
11. Cicer arietinum,28. Musa acuminata,45. Setaria italica
12. Citrus clementina,29. Nelumbo nucifera,46. Solanum lycopersicum
13. Citrus sinensis,30. Nicotiana attenuata,47. Solanum pennellii
14. Cynara cardunculus,31. Nicotiana sylvestris,48. Spinacia oleracea
15. Dendrobium catenatum,32. Nicotiana tabacum,49. Tarenaya hassleriana
16. Durio zibethinus,33. Nicotiana tomentosiformis,50. Vigna radiata
17. Elaeis guineensis,34. Oryza brachyantha,51. Ziziphus jujuba
