a 	b 
Arabidopsis thaliana	(+)-5-epi-Aristolochene
Arabidopsis thaliana	(+)-Ascorbic acid
Arabidopsis thaliana	(+)-Epijasmonic acid
Arabidopsis thaliana	(+)-alpha-Barbatene
Arabidopsis thaliana	(+)-alpha-Pinene
Arabidopsis thaliana	(+-)-Propylene glycol
Arabidopsis thaliana	(22S)-22-Hydroxycampesterol
Arabidopsis thaliana	(22S,22R)-22-Hydroxyergost-4-en-3-one
Arabidopsis thaliana	(22S,24R)-22-Hydroxy-5alpha-ergostan-3-one
Arabidopsis thaliana	(24R)-24-Methyl-5-alpha-cholestan-3-one
Arabidopsis thaliana	(24R)-24-Methylcholest-4-en-3-beta-ol
Arabidopsis thaliana	(24R)-Ergost-4-en-3-one
Arabidopsis thaliana	(2E,6E)-Farnesyl diphosphate
Arabidopsis thaliana	(5alpha,24R)-Ergostan-3-one
Arabidopsis thaliana	(E)-4-Hydroxy-3-methylbut-2-enyl diphosphate
Arabidopsis thaliana	(E)-Ferulic acid
Arabidopsis thaliana	(E)-Sinapic acid
Arabidopsis thaliana	(E)-beta-Ocimene
Arabidopsis thaliana	(S)-2,3-Epoxysqualene
Arabidopsis thaliana	(S)-beta-Bisabolene
Arabidopsis thaliana	1,16-Dihydroxyhexadecane
Arabidopsis thaliana	1,18-Octadecanediol
Arabidopsis thaliana	1,22-Docosane dioic acid
Arabidopsis thaliana	1,22-Docosane diol
Arabidopsis thaliana	1,24-Tetracosane dioic acid
Arabidopsis thaliana	1,3-Diaminopropane
Arabidopsis thaliana	1,7,16-Hexadecanetriol
Arabidopsis thaliana	1,8-Cineole
Arabidopsis thaliana	1-(o-Carboxyphenylamino)-1-deoxyribulose-5-phosphate
Arabidopsis thaliana	1-Aminocyclopropane-1-carboxylate
Arabidopsis thaliana	1-Methoxyindole 3-carboxylic acid methyl ester
Arabidopsis thaliana	1-Methoxyindole-3-carbaldehyde
Arabidopsis thaliana	1-O-Sinapoyl-beta-D-glucose
Arabidopsis thaliana	1-aci-Nitro-2-indolylethane
Arabidopsis thaliana	10,16-Dihydroxy-hexadecanoate
Arabidopsis thaliana	10-Formyl-THF
Arabidopsis thaliana	12-Oxophytodienoic acid
Arabidopsis thaliana	13S-Hydroperoxy-9Z,11E,15Z-octadecatrienoic acid
Arabidopsis thaliana	16-Hydroxy-hexadecanoic acid
Arabidopsis thaliana	16-Hydroxyhexadecanoic acid
Arabidopsis thaliana	18-Hydroxy-9-octadecenoic acid
Arabidopsis thaliana	18-Hydroxyoctadeca-9Z,12Z-dienoic acid
Arabidopsis thaliana	18-Hydroxyoctadecanoic acid
Arabidopsis thaliana	2'-O-Acetyl-ADP-ribose
Arabidopsis thaliana	2,3,4,5-Tetrahydrodipicolinate
Arabidopsis thaliana	2,3-Dimethyl-6-phytyl-1,4-benzoquinone
Arabidopsis thaliana	2-(2'-Methylthio)ethylmalic acid
Arabidopsis thaliana	2-(3'-Methylthio)propylmalic acid
Arabidopsis thaliana	2-(4'-Methylthio)butylmalic acid
Arabidopsis thaliana	2-(5'-methylthio)pentylmalic acid
Arabidopsis thaliana	2-(6'-Methylthio)hexylmalic acid
Arabidopsis thaliana	2-(7'-Methylthio)heptylmalic acid
Arabidopsis thaliana	2-(Indole-3-yl)-4,5-dihydro-1,3-thiazole-4-carboxylic acid
Arabidopsis thaliana	2-Amino-4-hydroxy-6-(hydroxymethyl)-7,8-dihydropteridine
Arabidopsis thaliana	2-Aminoethanol
Arabidopsis thaliana	2-Benzoyloxy-3-butenyl glucosinolate
Arabidopsis thaliana	2-C-Methyl-D-erythritol 4-phosphate
Arabidopsis thaliana	2-Ethylhexanoic acid
Arabidopsis thaliana	2-Hydroxypyridine
Arabidopsis thaliana	2-Hydroxytetracosanoic acid
Arabidopsis thaliana	2-Methyl-6-phytyl-1,4-benzoquinone
Arabidopsis thaliana	2-Methylsulfinylethyl glucosinolate
Arabidopsis thaliana	2-O-L-ramnopyranosyl-4-Deoxy-alpha-L-threo-hex-4-enopyranosiduronoic acid
Arabidopsis thaliana	2-Oxo-10-methylthiodecaonoic acid
Arabidopsis thaliana	2-Oxo-4-(methylthio)butanoic acid
Arabidopsis thaliana	2-Oxo-6-methylthiohexanoic acid
Arabidopsis thaliana	2-Oxo-7-methylthioheptanoic acid
Arabidopsis thaliana	2-Oxo-8-methylthiooctanoic acid
Arabidopsis thaliana	2-Oxo-9-methylthiononanoic acid
Arabidopsis thaliana	2-Phenylethylaldoxime
Arabidopsis thaliana	2-Phenylethylglucosinolate
Arabidopsis thaliana	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
Arabidopsis thaliana	2-Thioxo1,3-thiazolidine-4-carboxylic acid
Arabidopsis thaliana	20-Hydroxyeicosanoic acid
Arabidopsis thaliana	22-Hydroxydocosanoic acid
Arabidopsis thaliana	23-Hydroxytricosanoic acid
Arabidopsis thaliana	24-Dihydrocycloartenol
Arabidopsis thaliana	24-Epiteasterone
Arabidopsis thaliana	24-Epityphasterol
Arabidopsis thaliana	24-Ethylidenelophenol
Arabidopsis thaliana	24-Hydroxytetracosanoic acid
Arabidopsis thaliana	24-Methylene cholesterol
Arabidopsis thaliana	24-Methylenecycloartan-3beta-ol
Arabidopsis thaliana	24-Methylenelophenol
Arabidopsis thaliana	25-Hydroxypentacosanoic acid
Arabidopsis thaliana	26-Hydroxyhexacosanoic acid
Arabidopsis thaliana	28-Homobrassinolide
Arabidopsis thaliana	28-Norbrassinolide
Arabidopsis thaliana	3'-Dephospho-CoA
Arabidopsis thaliana	3'-phosphoadenosine 5'-phosphosulfate
Arabidopsis thaliana	3,4-Epithiobutyl nitrile
Arabidopsis thaliana	3-Dehydro-6-deoxoteasterone
Arabidopsis thaliana	3-Dehydroteasterone
Arabidopsis thaliana	3-Deoxy-D-arabino-heptulosonate 7-phosphate
Arabidopsis thaliana	3-Hydroxybutyl nitrile
Arabidopsis thaliana	3-Hydroxypropyl glucosinolate
Arabidopsis thaliana	3-Indolylmethyldesulfoglucosinolate
Arabidopsis thaliana	3-Indolylmethylthiohydroximate
Arabidopsis thaliana	3-Ketosphinganine
Arabidopsis thaliana	3-Mercaptopyruvic acid
Arabidopsis thaliana	3-Phosphoglycerate
Arabidopsis thaliana	3-Phosphoserine
Arabidopsis thaliana	4'-Phosphopantetheine
Arabidopsis thaliana	4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
Arabidopsis thaliana	4-Benzoyloxybutyl glucosinolate
Arabidopsis thaliana	4-Coumaroyl CoA
Arabidopsis thaliana	4-Hydroxybenzaldehyde
Arabidopsis thaliana	4-Hydroxybutylglucosinolate
Arabidopsis thaliana	4-Hydroxypyridine
Arabidopsis thaliana	4-Hydroxysphinganine
Arabidopsis thaliana	4-Ketolutein
Arabidopsis thaliana	4-Methoxyglucobrassicin
Arabidopsis thaliana	4-Methoxyindole-3-carbaldehyde
Arabidopsis thaliana	4-O-(Indole-3-acetyl)-D-glucopyranose
Arabidopsis thaliana	4-Thiazolidinecarboxylic acid
Arabidopsis thaliana	4-hydroxybenzoic acid
Arabidopsis thaliana	4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol
Arabidopsis thaliana	4alpha-Methylfecosterol
Arabidopsis thaliana	5,10-Methylenetetrahydrofolic acid
Arabidopsis thaliana	5-(Methylthio)-2-oxo-pentanoic acid
Arabidopsis thaliana	5-Aminolevulinic acid
Arabidopsis thaliana	5-Dehydroavenasterol
Arabidopsis thaliana	5-Dehydroepisterol
Arabidopsis thaliana	5-Enolpyruvyl-shikimate 3-phosphate
Arabidopsis thaliana	5-Formamidoimidazole-4-carboxamide ribonucleotide
Arabidopsis thaliana	5-Hydroxyconiferaldehyde
Arabidopsis thaliana	5-Hydroxyconiferyl alcohol
Arabidopsis thaliana	5-Hydroxyconiferyl aldehyde
Arabidopsis thaliana	5-Hydroxyferulic acid
Arabidopsis thaliana	5-Hydroxyferuloyl-CoA
Arabidopsis thaliana	5-Methyl-tetrahydrofolate
Arabidopsis thaliana	5-Methylsufinylpentyl nitrile
Arabidopsis thaliana	5-Methylsulfinylpentyl glucosinolate
Arabidopsis thaliana	5-Methylthiopentanaldoxime
Arabidopsis thaliana	5-Methylthiopentyldesulfoglucosinolate
Arabidopsis thaliana	5-Methylthiopentylglucosinolate
Arabidopsis thaliana	5-Oxoproline
Arabidopsis thaliana	5-Phosphoribosylamine
Arabidopsis thaliana	5-Phosphoribosylglycineamide
Arabidopsis thaliana	5alpha-campestanol
Arabidopsis thaliana	5alpha-ergostanol
Arabidopsis thaliana	6,9-Octadecadienedioic acid
Arabidopsis thaliana	6-(2-Methoxybenzylamino)purine
Arabidopsis thaliana	6-(2Methoxybenzylamino)purine-9-beta-D-ribofuranoside
Arabidopsis thaliana	6-(Methylthio)hexyl glucosinolate
Arabidopsis thaliana	6-Deoxo-28-nortyphasterol
Arabidopsis thaliana	6-Deoxocastasterone
Arabidopsis thaliana	6-Deoxocathasterone
Arabidopsis thaliana	6-Deoxoteasterone
Arabidopsis thaliana	6-Deoxotyphasterol
Arabidopsis thaliana	6-Dihydrocastasterone
Arabidopsis thaliana	6-Hydroxynicotinic acid
Arabidopsis thaliana	6-Methylsulfinylhexyl glucosinolate
Arabidopsis thaliana	6-Methylthiohexanaldoxime
Arabidopsis thaliana	6-Oxocampestanol
Arabidopsis thaliana	6-Phospho-D-gluconate
Arabidopsis thaliana	6-hydroxyindole-3-carboxylic acd 6-O-beta-D-glucopyranoside
Arabidopsis thaliana	6-hydroxyindole-3-carboxylic acid 6-O-(6'-malonyl)beta-D-glucopyranoside
Arabidopsis thaliana	6-hydroxyindole-3-carboxylic acid beta-D-glucopyranosyl ester
Arabidopsis thaliana	6alpha-Hydroxycampestanol
Arabidopsis thaliana	7,8-Dihydrofolate
Arabidopsis thaliana	7,8-Dihydropteroate
Arabidopsis thaliana	7,9,9'-tri-cis-Neurosporene
Arabidopsis thaliana	7-(Methylsulfinyl)heptyl glucosinolate
Arabidopsis thaliana	7-(beta-D-glucopyranosyloxy)-6-methoxycoumarin
Arabidopsis thaliana	7-Methylthioheptyl glucosinolate
Arabidopsis thaliana	8-Methylsulfinyloctyl glucosinolate
Arabidopsis thaliana	8-Methylthio-octyl glucosinolate
Arabidopsis thaliana	8-Methylthiooctanaldoxime
Arabidopsis thaliana	9-Methylthiononanaldoxime
Arabidopsis thaliana	9-Octadecene-1,18-diol
Arabidopsis thaliana	9-Ribosyl-cis-zeatin
Arabidopsis thaliana	9-Ribosyl-trans-zeatin
Arabidopsis thaliana	ADP-D-glucose
Arabidopsis thaliana	AICAR
Arabidopsis thaliana	Abscisic acid
Arabidopsis thaliana	Abscisic acid aldehyde
Arabidopsis thaliana	Acetoacetyl-CoA
Arabidopsis thaliana	Acetyl-CoA
Arabidopsis thaliana	Adenosine
Arabidopsis thaliana	Adenosine 5'-phosphosulfate
Arabidopsis thaliana	Adenylosuccinate
Arabidopsis thaliana	All-trans-squalene
Arabidopsis thaliana	Allantoic acid
Arabidopsis thaliana	Allantoin
Arabidopsis thaliana	Ammonia
Arabidopsis thaliana	Antheraxanthin
Arabidopsis thaliana	Anthranilic acid
Arabidopsis thaliana	Arabidopside A
Arabidopsis thaliana	Arabidopside B
Arabidopsis thaliana	Arabidopside C
Arabidopsis thaliana	Arabidopside D
Arabidopsis thaliana	Arachidic acid
Arabidopsis thaliana	Arogenic acid
Arabidopsis thaliana	Arvelexin
Arabidopsis thaliana	Auriculasin
Arabidopsis thaliana	Behenic acid
Arabidopsis thaliana	Benzoic acid
Arabidopsis thaliana	Benzylglucosinolate
Arabidopsis thaliana	Biotin
Arabidopsis thaliana	Botrydial
Arabidopsis thaliana	Brassinolide
Arabidopsis thaliana	Brassitin
Arabidopsis thaliana	CDP-choline
Arabidopsis thaliana	Cadaverine
Arabidopsis thaliana	Caffeic acid
Arabidopsis thaliana	Caffeoyl aldehyde
Arabidopsis thaliana	Caffeyl alcohol
Arabidopsis thaliana	Camalexin
Arabidopsis thaliana	Campesterol
Arabidopsis thaliana	Canthaxanthin
Arabidopsis thaliana	Capric acid
