Name,USDA,KNApSAcK,NPASS,Microbiome,IMPPAT,Dukes,NAPRALERT
Aegilops tauschii,F,F,F,F,F,F,F
Amborella trichopoda,F,F,F,F,F,F,T
Arabidopsis lyrata,F,F,T,F,F,F,F
Arabidopsis thaliana,F,T,T,F,T,F,T
Arachis duranensis,F,F,F,F,F,F,F
Arachis ipaensis,F,F,F,F,F,F,F
Asparagus officinalis,T,T,T,T,T,T,T
Auxenochlorella protothecoides,F,F,T,F,F,F,F
Bathycoccus prasinos,F,T,F,F,F,F,T
Beta vulgaris,T,T,T,T,T,T,T
Brachypodium distachyon,F,F,T,F,F,F,F
Brassica napus,T,T,T,T,F,T,T
Brassica oleracea,T,T,T,T,T,T,T
Brassica rapa,T,T,T,F,F,T,T
Cajanus cajan,F,T,T,F,T,T,T
Camelina sativa,F,T,T,F,F,F,T
Capsella rubella,F,F,F,F,F,F,F
Capsicum annuum,T,T,T,T,T,T,T
Carica papaya,T,T,T,T,T,T,T
Chenopodium quinoa,F,T,T,F,F,T,T
Chlamydomonas reinhardtii,F,T,T,F,F,T,T
Chlorella variabilis,F,F,F,F,F,T,F
Chondrus crispus,F,T,F,F,T,T,F
Cicer arietinum,T,T,T,T,T,T,T
Citrus clementina,F,T,F,F,F,F,T
Citrus sinensis,T,T,T,T,T,T,T
Coccomyxa subellipsoidea,F,F,F,F,F,T,F
Cucumis melo,T,T,T,T,T,T,T
Cucumis sativus,T,T,T,T,T,T,T
Cucurbita maxima,T,T,T,F,T,T,T
Cucurbita moschata,T,T,T,F,T,F,T
Cucurbita pepo subsp. Pepo,T,T,F,F,F,T,T
Cyanidioschyzon merolae,F,F,F,F,F,T,F
Cynara cardunculus var. scolymus,T,T,T,F,F,T,T
Daucus carota,T,T,T,T,T,T,T
Dendrobium catenatum,F,F,T,F,F,F,F
Durio zibethinus,F,T,T,F,T,T,T
Elaeis guineensis,F,T,T,F,F,T,T
Eucalyptus grandis,F,T,F,F,F,T,T
Eutrema salsugineum,F,F,T,F,F,F,F
Fragaria vesca,F,T,T,F,F,T,T
Galdieria sulphuraria,F,F,T,F,F,F,F
Glycine max,T,T,T,T,T,T,T
Glycine soja,F,T,T,F,F,F,F
Gossypium arboreum,F,T,T,F,T,F,T
Gossypium hirsutum,F,T,T,F,F,F,T
Gossypium raimondii,F,F,F,F,F,F,T
Helianthus annuus,F,T,T,F,T,T,T
Hevea brasiliensis,F,T,T,F,F,F,T
Ipomoea nil,F,T,T,F,T,F,T
Jatropha curcas,F,T,T,F,T,T,T
Juglans regia,T,T,T,T,T,T,T
Lactuca sativa,T,T,T,F,T,T,T
Lotus japonicus,F,T,T,F,F,F,F
Lupinus angustifolius,F,T,F,F,T,T,T
Malus domestica,T,T,T,T,F,T,T
Manihot esculenta,F,T,T,F,T,T,T
Medicago truncatula,F,T,T,F,F,F,T
Micromonas commoda,F,F,F,F,F,F,F
Micromonas pusilla,F,T,T,F,F,F,T
Momordica charantia,F,T,T,F,T,T,T
Monoraphidium neglectum,F,F,F,F,F,F,F
Musa acuminata,F,T,T,T,F,F,T
Nelumbo nucifera,T,T,T,T,T,T,T
Nicotiana attenuata,F,T,T,F,F,T,T
Nicotiana sylvestris,F,T,T,F,F,F,F
Nicotiana tabacum,F,T,T,F,T,T,T
Nicotiana tomentosiformis,F,T,F,F,F,F,T
Olea europaea var. sylvestris,T,F,F,T,T,T,T
Oryza brachyantha,F,F,F,F,F,F,T
Oryza sativa japonica,T,T,F,F,F,T,T
Ostreococcus lucimarinus,F,F,F,F,F,F,F
Ostreococcus tauri,F,F,F,F,F,F,F
Papaver somniferum,F,T,T,F,T,T,T
Phalaenopsis equestris,F,T,T,F,F,F,T
Phaseolus vulgaris,T,T,T,T,T,T,T
Phoenix dactylifera,F,T,T,T,T,T,T
Physcomitrium patens,F,T,T,F,F,F,F
Populus euphratica,F,F,T,F,F,F,T
Populus trichocarpa,F,T,T,F,F,F,T
Prunus avium,T,T,T,T,T,T,T
Prunus mume,F,T,T,F,F,F,T
Prunus persica,T,T,T,T,T,T,T
Pyrus x bretschneideri,F,T,T,F,F,F,T
Quercus suber,F,T,T,F,F,T,T
Raphanus sativus,T,T,T,T,T,T,T
Ricinus communis,F,T,T,F,T,T,T
Rosa chinensis,F,T,T,F,T,F,T
Selaginella moellendorffii,F,T,T,F,F,F,F
Sesamum indicum,F,T,T,F,F,T,T
Setaria italica,F,T,T,F,T,F,T
Solanum lycopersicum,T,T,T,F,F,T,F
Solanum pennellii,F,T,T,F,F,F,F
Solanum tuberosum,T,T,T,T,T,T,T
Sorghum bicolor,F,T,T,F,F,F,T
Spinacia oleracea,T,T,T,T,T,T,T
Tarenaya hassleriana,F,F,F,F,F,F,F
Theobroma cacao,T,T,T,F,T,T,T
Vigna angularis,F,T,T,F,F,T,T
Vigna radiata,T,T,T,T,T,T,T
Vigna unguiculata,T,T,T,T,T,T,T
Vitis vinifera,T,T,T,T,T,T,T
Volvox carteri f. nagariensis,F,F,F,F,F,F,F
Zea mays,F,T,T,F,T,T,T
Ziziphus jujuba,T,T,T,T,F,T,T
