1. Aegilops tauschii,29. Eucalyptus grandis,57. Phalaenopsis equestris
2. Amborella trichopoda,30. Eutrema salsugineum,58. Phaseolus vulgaris
3. Arabidopsis lyrata,31. Fragaria vesca,59. Phoenix dactylifera
4. Arabidopsis thaliana,32. Glycine max,60. Populus euphratica
5. Arachis duranensis,33. Glycine soja,61. Populus trichocarpa
6. Arachis ipaensis,34. Gossypium arboreum,62. Prunus avium
7. Asparagus officinalis,35. Gossypium hirsutum,63. Prunus mume
8. Beta vulgaris,36. Gossypium raimondii,64. Prunus persica
9. Brachypodium distachyon,37. Helianthus annuus,65. Pyrus x
10. Brassica napus,38. Hevea brasiliensis,66. Quercus suber
11. Brassica oleracea,39. Ipomoea nil,67. Raphanus sativus
12. Brassica rapa,40. Jatropha curcas,68. Ricinus communis
13. Camelina sativa,41. Juglans regia,69. Rosa chinensis
14. Capsicum annuum,42. Lactuca sativa,70. Sesamum indicum
15. Carica papaya,43. Lotus japonicus,71. Setaria italica
16. Chenopodium quinoa,44. Lupinus angustifolius,72. Solanum lycopersicum
17. Cicer arietinum,45. Malus domestica,73. Solanum pennellii
18. Citrus clementina,46. Manihot esculenta,74. Solanum tuberosum
19. Citrus sinensis,47. Medicago truncatula,75. Spinacia oleracea
20. Cucumis melo,48. Musa acuminata,76. Tarenaya hassleriana
21. Cucumis sativus,49. Nelumbo nucifera,77. Theobroma cacao
22. Cucurbita maxima,50. Nicotiana attenuata,78. Vigna angularis
23. Cucurbita moschata,51. Nicotiana sylvestris,79. Vigna radiata
24. Cucurbita pepo,52. Nicotiana tabacum,80. Vigna unguiculata
25. Cynara cardunculus,53. Nicotiana tomentosiformis,81. Vitis vinifera
26. Daucus carota,54. Olea europaea,82. Zea mays
27. Durio zibethinus,55. Oryza sativa,83. Ziziphus jujuba
28. Elaeis guineensis,56. Papaver somniferum, 
